MOLECULE_ID;SMILES;CELL_LINE;TEST_TYPE;RACEMAT;R;S;RR;SS;RS;SR;CIS;TRANS;INDOLE;IC50;Source;Reference
US202311795164B1_139;C1C[C@@H]([C@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)C(F)F;0;Luminescence;0;0;0;0;1;0;0;0;0;0;9.2;patent;US202311795164B1
US202311795164B1_140;C1C[C@@H]([C@H](C(C1)(F)F)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)OC(F)(F)F;0;Luminescence;1;0;0;0;0;0;0;0;1;0;9.55;patent;US202311795164B1
US202311795164B1_143;C1C[C@H]([C@@H](C(C1)(F)F)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)Cl;0;Luminescence;1;0;0;0;0;0;0;0;1;0;9.61;patent;US202311795164B1
US202311795164B1_146;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)OC(F)(F)F)C(=O)NCC(C(F)(F)F)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;10.3;patent;US202311795164B1
US202311795164B1_147;C1C[C@@H]([C@@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)OC(F)(F)F;0;Luminescence;0;0;0;0;0;0;1;0;0;0;12.2;patent;US202311795164B1
US202311795164B1_148;C1C[C@H]([C@@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)Cl;0;Luminescence;1;0;0;0;0;0;0;0;1;0;15.3;patent;US202311795164B1
US202311795164B1_149;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)OC(F)(F)F)C(=O)NC(CO)C(F)(F)F;0;Luminescence;1;0;0;0;0;0;0;0;0;0;18.8;patent;US202311795164B1
US202311795164B1_150;C1CC1[C@@H](CO)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)C(F)F;0;Luminescence;0;0;1;0;0;0;0;0;0;0;19.9;patent;US202311795164B1
US202311795164B1_151;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)C(F)F;0;Luminescence;0;0;1;0;0;0;0;0;0;0;21.1;patent;US202311795164B1
US202311795164B1_152;CC1=CC=C(C=C1)C2=NN(C(=O)C(=C2)C(=O)N[C@@H](C)CO)C3=CN=CC=C3;0;Luminescence;0;0;1;0;0;0;0;0;0;0;24.1;patent;US202311795164B1
